fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
19075,725461,725461,99999,94988,20.99597058,21.09627486,Grundy,Iowa,24.35988115,12232
19077,720412,725498,54943,94998,20.20356382,21.49230539,Guthrie,Iowa,18.05244659,10689
19079,725478,725478,04920,99999,9.026374029,9.054142818,Hamilton,Iowa,25.63807822,14773
19081,720643,720643,99999,54940,10.72465466,11.95001226,Hancock,Iowa,18.6524116,10630
19083,722331,722331,99999,54941,5.906468872,6.261096961,Hardin,Iowa,29.59146801,16846
19085,725527,725527,94978,99999,19.45617124,19.7627557,Harrison,Iowa,20.13991158,14049
19087,720309,720309,99999,04947,2.988397231,3.325448516,Henry,Iowa,45.9600695,19954
19089,720283,725463,04927,14966,23.16704065,24.56347675,Howard,Iowa,19.33844867,9158
19091,725490,725457,94933,04904,15.69135206,21.09402539,Humboldt,Iowa,22.0082323,9558
19093,725496,725496,04976,99999,20.09008265,20.52193226,Ida,Iowa,15.87022147,6860
19095,725450,725462,14990,99999,22.52236261,26.9675965,Iowa,Iowa,27.60829104,16184
19097,725470,999999,94908,14934,16.98525457,23.17319321,Jackson,Iowa,30.55707376,19439
19099,725464,725464,04977,99999,1.833957223,2.304440278,Jasper,Iowa,50.86922534,37185
19101,726498,725454,04925,04903,2.146150558,22.15170365,Jefferson,Iowa,42.03624651,18295
19103,725462,725462,99999,14937,3.089357103,3.535136459,Johnson,Iowa,246.0837548,151140
19105,725475,725475,99999,04953,6.865598429,7.320426128,Jones,Iowa,35.97479891,20681
19107,720351,720351,54919,99999,17.91983341,18.1471535,Keokuk,Iowa,17.64366854,10246
19109,725457,720643,04904,99999,9.320347381,21.42647977,Kossuth,Iowa,15.24853632,14813
19111,725483,725483,99999,04930,7.85572453,8.064449698,Lee,Iowa,65.03904133,33657
19113,725450,720326,14990,04981,14.83239513,23.92430365,Linn,Iowa,316.190183,226706
19115,725487,725454,04950,99999,11.73482021,21.62201115,Louisa,Iowa,27.42517783,11035
19117,725469,725469,04913,99999,1.78000459,2.217873803,Lucas,Iowa,20.00674309,8600
19119,722006,722006,99999,54926,16.34399694,16.61937522,Lyon,Iowa,19.9959848,11755
19121,725460,720701,14933,54942,23.45048982,25.67068608,Madison,Iowa,29.0726577,16338
19123,720351,720351,99999,54919,10.16275576,10.83517037,Mahaska,Iowa,38.69907511,22095
19125,725493,720312,04962,99999,2.55902849,8.979935444,Marion,Iowa,59.99895824,33253
19127,725461,725461,94988,99999,6.710420053,6.754525905,Marshall,Iowa,68.76596635,39369
19129,725540,725540,99999,14949,15.62358892,16.44927127,Mills,Iowa,34.51421741,15109
19131,725463,725463,14966,99999,21.53702959,21.7928914,Mitchell,Iowa,22.59446919,10586
19133,725527,725527,99999,94978,22.76291645,22.81493396,Monona,Iowa,12.396354,8615
19135,725493,725465,04962,14950,22.55246822,22.63822756,Monroe,Iowa,17.79282309,7707
19137,725494,725494,04966,99999,5.581363787,5.840978278,Montgomery,Iowa,23.36127561,9917
19139,725487,725462,04950,14937,8.30494443,24.51636337,Muscatine,Iowa,97.51486256,42664
19141,725495,725495,04975,99999,13.54943407,13.95098948,O'Brien,Iowa,23.975573,13753
19143,725495,725495,99999,04975,15.33902916,15.79767432,Osceola,Iowa,14.93649025,5958
19145,725479,725479,99999,04937,6.323700578,6.609312703,Page,Iowa,28.25687924,15107
19147,725457,726499,04904,94971,20.50102663,22.31110768,Palo Alto,Iowa,15.75163995,8886
19149,725484,725484,04942,99999,2.960554741,3.20501236,Plymouth,Iowa,29.22168414,25177
19151,725490,725496,94933,99999,28.22741842,29.64114304,Pocahontas,Iowa,11.49949384,6619
19153,725466,725466,04938,99999,0.538697366,1.219739039,Polk,Iowa,854.2305185,490161
19155,725497,725497,04908,99999,12.50211017,12.61047694,Pottawattamie,Iowa,98.05049486,93206
19157,725292,725464,14976,99999,8.945719048,25.09066668,Poweshiek,Iowa,31.59983081,18504
19159,999999,725499,14993,99999,14.07297969,19.35755717,Ringgold,Iowa,9.156577665,4894
19161,725496,725496,04976,99999,16.11805892,16.13720826,Sac,Iowa,16.90608696,9721
19163,744550,725440,94982,14923,2.305016382,12.97064398,Scott,Iowa,377.5513249,172943
19165,722097,722097,04936,99999,7.140818879,7.151150734,Shelby,Iowa,19.39281664,11454
19167,725489,725489,04959,99999,8.637447807,8.872897378,Sioux,Iowa,45.39919594,34855
19169,725472,725472,99999,94989,8.188615273,8.495358501,Story,Iowa,169.522538,97117
19171,725461,725461,94988,99999,19.77445495,19.89153702,Tama,Iowa,23.33586987,16854
19173,725479,725479,04937,99999,17.28492372,17.67560198,Taylor,Iowa,11.5307741,6121
19175,725474,725474,04915,99999,6.447696628,6.537041595,Union,Iowa,28.90805808,12241
19177,726498,720309,04925,99999,20.76943474,26.40062749,Van Buren,Iowa,14.51603699,7044
19179,999999,725465,14948,14950,4.94887438,5.693405599,Wapello,Iowa,80.98084211,34969
19181,725460,720701,14933,54942,14.59097689,20.60237991,Warren,Iowa,90.29513467,51466
19183,725454,725454,99999,04903,4.492967068,4.7316443,Washington,Iowa,38.65937154,21965
19185,725469,725469,99999,04913,19.28465292,19.38198446,Wayne,Iowa,12.27240356,6441
19187,725490,725478,94933,04920,8.443413063,15.96169549,Webster,Iowa,50.15395786,35904
19189,720643,720643,99999,54940,10.28105444,11.29775466,Winnebago,Iowa,25.82306276,10354
19191,725476,725476,99999,04916,5.357003271,5.370485074,Winneshiek,Iowa,28.95732808,19991
19193,725570,725484,14943,04942,17.04938361,27.88050504,Woodbury,Iowa,118.1716096,103107
19195,725485,720643,14940,54940,15.78962683,20.73874292,Worth,Iowa,18.4573572,7381
19197,725458,725458,04907,99999,1.355308733,1.991814076,Wright,Iowa,21.65043465,12562
20001,724507,722005,13981,99999,17.9375643,36.84416692,Allen,Kansas,24.69914741,12369
20003,722005,999999,99999,13990,24.19256456,31.34793286,Anderson,Kansas,13.57837571,7858
20005,724567,724490,13921,99999,23.99924839,26.59790578,Atchison,Kansas,37.3238537,16073
20007,724520,722052,03957,53933,8.187145155,31.51018421,Barber,Kansas,3.916087225,4427
20009,724517,720431,13940,99999,10.7344313,25.82312753,Barton,Kansas,28.78409699,25779
20011,720436,720436,00142,99999,28.71031779,28.80209128,Bourbon,Kansas,22.89346866,14534
20013,725533,725533,94957,99999,17.57002714,17.81668219,Brown,Kansas,16.76382212,9564
20015,724504,724504,99999,03974,20.75376659,21.00192798,Butler,Kansas,46.82144961,66911
20017,724556,724556,13989,99999,21.70991799,21.94406604,Chase,Kansas,3.416774194,2648
20019,720426,749099,00141,99999,25.73917982,26.4156665,Chautauqua,Kansas,5.049059689,3250
